0	-54.144066	0.001546	1358.490601
1	-50.936131	0.002359	553.459106
2	-50.499199	0.002413	553.459106
3	-49.128624	0.002780	603.773560
4	-49.262432	0.002893	603.773560
5	-51.314339	0.002183	704.402527
6	-28.329165	0.024153	955.974854
7	-21.113365	0.068842	905.660400
8	-21.456966	0.067277	1106.918213
9	-19.036482	0.090433	1006.289307
10	-19.647882	0.082406	955.974854
11	-20.091639	0.071479	1006.289307
12	-20.576595	0.068517	905.660400
13	-23.719866	0.047501	1006.289307
14	-24.142076	0.047570	1257.861694
15	-24.850285	0.046978	754.716980
16	-27.321188	0.035470	855.345886
17	-27.774906	0.034738	654.088074
18	-28.490509	0.030805	855.345886
19	-28.298223	0.032233	754.716980
20	-26.271135	0.038069	754.716980
21	-23.900547	0.051229	754.716980
22	-21.720314	0.068481	805.031433
23	-20.384048	0.082346	754.716980
24	-19.905043	0.080484	855.345886
25	-20.476151	0.072572	905.660400
26	-22.018341	0.059344	1106.918213
27	-22.862648	0.054526	1157.232666
28	-22.888332	0.051282	1006.289307
29	-24.915178	0.042115	905.660400
30	-28.218140	0.029074	905.660400
31	-30.413383	0.023107	905.660400
32	-32.595566	0.018439	654.088074
33	-34.549683	0.014812	905.660400
34	-35.762127	0.012835	754.716980
35	-36.390667	0.012371	603.773560
36	-43.746967	0.004740	855.345886
37	-44.051147	0.005129	654.088074
38	-50.173031	0.002291	855.345886
39	-50.441914	0.002555	553.459106
40	-51.814037	0.001984	1006.289307
41	-52.145000	0.001979	955.974854
42	-52.001595	0.002078	553.459106
43	-53.519737	0.001707	855.345886
44	-53.397442	0.001832	503.144653
45	-55.855339	0.001350	905.660400
46	-55.541885	0.001446	603.773560
47	-55.225418	0.001371	1006.289307
48	-52.114643	0.002010	452.830200
49	-55.264469	0.001368	754.716980
50	-58.069366	0.000984	905.660400
51	-57.542530	0.001038	754.716980
52	-56.769249	0.001182	704.402527
53	-54.822689	0.001427	1006.289307
54	-58.151089	0.001023	955.974854
55	-54.800106	0.001523	704.402527
56	-51.107845	0.002116	754.716980
57	-52.489532	0.001903	905.660400
58	-54.413265	0.001470	955.974854
59	-55.362358	0.001361	553.459106
60	-53.578800	0.001701	1006.289307
61	-52.184631	0.001934	2465.408691
62	-54.123863	0.001581	3572.327148
63	-52.321571	0.001951	2817.610107
64	-54.302135	0.001498	3169.811279
65	-52.614548	0.001796	3471.697998
66	-53.375263	0.001737	3270.440186
67	-50.673340	0.002415	4830.188477
68	-50.599701	0.002400	4477.987305
69	-52.264576	0.001810	1660.377319
70	-55.168034	0.001463	1257.861694
71	-36.658066	0.009945	905.660400
72	-31.413000	0.018430	654.088074
73	-29.012945	0.024371	805.031433
74	-29.456554	0.024328	754.716980
75	-29.342667	0.025952	704.402527
76	-31.262016	0.022565	402.515717
77	-36.365372	0.011964	402.515717
78	-40.216194	0.007953	201.257858
79	-45.225681	0.004408	251.572327
80	-46.276474	0.003880	805.031433
81	-40.503307	0.006458	1710.691772
82	-40.206127	0.007947	503.144653
83	-33.330017	0.017962	503.144653
